Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,51215054,1,"Sunday, January 11, 2009 16:33:40 UTC",37.3880,-121.7428,2.2,6.70,85,"San Francisco Bay area, California"
nc,51215053,1,"Sunday, January 11, 2009 16:29:36 UTC",38.8138,-122.8145,1.4,3.00,27,"Northern California"
ak,00086436,1,"Sunday, January 11, 2009 16:19:48 UTC",61.6257,-146.3268,2.3,30.80,06,"Southern Alaska"
ci,10370641,1,"Sunday, January 11, 2009 16:14:51 UTC",32.5000,-115.2253,2.2,5.90,23,"Baja California, Mexico"
ci,10370637,1,"Sunday, January 11, 2009 16:11:09 UTC",35.9745,-117.3045,1.5,5.10,15,"Central California"
nc,51215052,1,"Sunday, January 11, 2009 16:07:08 UTC",38.0393,-118.7880,1.7,9.60,10,"Central California"
pr,p0901108,1,"Sunday, January 11, 2009 16:04:16 UTC",19.2330,-65.9905,3.4,108.20,05,"Puerto Rico region"
pr,p0901107,1,"Sunday, January 11, 2009 15:56:25 UTC",19.4948,-66.1402,3.4,97.00,10,"Puerto Rico region"
hv,00032714,0,"Sunday, January 11, 2009 15:55:42 UTC",19.3217,-155.1915,1.9,5.00,00,"Island of Hawaii, Hawaii"
ak,00086433,1,"Sunday, January 11, 2009 15:55:15 UTC",63.5373,-150.7007,2.0,5.20,12,"Central Alaska"
hv,00032713,0,"Sunday, January 11, 2009 15:53:01 UTC",19.4057,-155.2757,2.0,0.00,00,"Island of Hawaii, Hawaii"
us,2009bsa4,Q,"Sunday, January 11, 2009 15:53:01 UTC",6.4373,126.8551,5.0,107.50,53,"Mindanao, Philippines"
pr,p0901110,1,"Sunday, January 11, 2009 15:51:13 UTC",18.1278,-65.4277,2.7,23.20,06,"Isla de Vieques, Puerto Rico"
pr,p0901109,1,"Sunday, January 11, 2009 15:25:46 UTC",18.8103,-64.9898,2.7,21.20,08,"Virgin Islands region"
ci,10370633,1,"Sunday, January 11, 2009 15:10:12 UTC",33.8991,-116.8698,1.5,13.00,45,"Southern California"
ak,00086429,1,"Sunday, January 11, 2009 14:59:44 UTC",63.2941,-147.0964,1.5,4.70,11,"Central Alaska"
ak,00086430,1,"Sunday, January 11, 2009 14:58:07 UTC",65.0261,-147.5410,1.1,31.30,04,"northern Alaska"
ak,00086428,1,"Sunday, January 11, 2009 14:37:17 UTC",61.5716,-150.3994,1.4,50.40,06,"Southern Alaska"
us,2009bsaz,Q,"Sunday, January 11, 2009 14:15:54 UTC",-0.7226,133.5888,4.9,28.00,29,"near the north coast of Papua, Indonesia"
ak,00086426,2,"Sunday, January 11, 2009 14:12:29 UTC",53.8120,-162.8910,2.9,33.70,11,"south of Alaska"
us,2009bsa1,Q,"Sunday, January 11, 2009 14:03:50 UTC",-6.4638,147.4525,4.6,74.60,21,"eastern New Guinea region, Papua New Guinea"
pr,p0901106,1,"Sunday, January 11, 2009 13:54:52 UTC",19.1993,-66.6598,3.4,137.40,09,"Puerto Rico region"
ak,00086423,1,"Sunday, January 11, 2009 13:50:33 UTC",61.6235,-149.9519,2.2,35.00,24,"Southern Alaska"
ci,10370629,1,"Sunday, January 11, 2009 13:49:58 UTC",32.6653,-116.0553,2.1,7.00,42,"Southern California"
ci,10370625,1,"Sunday, January 11, 2009 13:45:31 UTC",34.8098,-116.4206,1.7,4.70,21,"Southern California"
uu,01111314,2,"Sunday, January 11, 2009 13:14:35 UTC",39.6307,-110.3963,1.7,0.60, 8,"Utah"
ci,10370621,1,"Sunday, January 11, 2009 13:01:23 UTC",36.0448,-117.8721,2.0,1.40,17,"Central California"
us,2009bsau,Q,"Sunday, January 11, 2009 12:53:37 UTC",42.9748,143.0281,4.6,97.50,114,"Hokkaido, Japan region"
ak,00086419,1,"Sunday, January 11, 2009 12:44:54 UTC",54.6084,-163.6186,1.2,26.00,04,"Unimak Island region, Alaska"
ci,10370617,1,"Sunday, January 11, 2009 12:14:48 UTC",34.0449,-117.2513,2.2,16.10,121,"Greater Los Angeles area, California"
ak,00086418,1,"Sunday, January 11, 2009 12:07:38 UTC",61.9244,-151.1977,2.0,0.00,04,"Southern Alaska"
nc,51215051,1,"Sunday, January 11, 2009 11:41:01 UTC",38.8505,-122.7643,1.0,1.70, 9,"Northern California"
ak,00086413,2,"Sunday, January 11, 2009 11:22:50 UTC",60.6762,-151.6869,3.3,71.10,31,"Kenai Peninsula, Alaska"
ci,10370609,1,"Sunday, January 11, 2009 10:57:05 UTC",35.9858,-117.3005,1.5,3.60,15,"Central California"
us,2009bsap,R,"Sunday, January 11, 2009 10:53:56 UTC",51.4068,16.1523,4.7,5.00,36,"Poland"
nc,51215050,1,"Sunday, January 11, 2009 10:20:23 UTC",39.0413,-123.3390,2.1,0.30,18,"Northern California"
uu,01111016,2,"Sunday, January 11, 2009 10:16:11 UTC",44.4037,-110.4903,1.1,2.70, 6,"Yellowstone National Park, Wyoming"
ak,00086411,1,"Sunday, January 11, 2009 10:15:12 UTC",63.1323,-151.4353,2.4,0.20,18,"Central Alaska"
ci,10370605,1,"Sunday, January 11, 2009 10:07:51 UTC",33.5916,-116.4266,1.3,17.10,12,"Southern California"
ak,00086410,1,"Sunday, January 11, 2009 09:59:28 UTC",65.0104,-150.2824,1.0,0.00,04,"northern Alaska"
nc,51215048,1,"Sunday, January 11, 2009 09:14:56 UTC",38.8180,-122.8193,1.4,3.00,20,"Northern California"
ak,00086407,1,"Sunday, January 11, 2009 08:58:27 UTC",62.2009,-145.5730,1.6,31.70,06,"Central Alaska"
